Afghanistan,أفغانستان
Åland Islands,جزر آلاند
Albania,ألبانيا
Algeria,الجزائر
American Samoa,ساموا الأمريكية
Andorra,أندورا
Angola,أنغولا
Anguilla,أنغيلا
Antarctica,القارة القطبية الجنوبية
Antigua and Barbuda,أنتيغوا وبربودا
Argentina,الأرجنتين
Armenia,أرمينيا
Aruba,أروبا
Australia,أستراليا
Austria,النمسا
Azerbaijan,أذربيجان
Bahamas,جزر البهاما
Bahrain,البحرين
Bangladesh,بنغلاديش
Barbados,بربادوس
Belarus,بيلاروسيا
Belgium,بلجيكا
Belize,بليز
Benin,بنين
Bermuda,برمودا
Bhutan,بوتان
"Bolivia, Plurinational State of",بوليفيا، دولة متعددة القوميات
"Bonaire, Sint Eustatius and Saba",بونير، سينت أوستاتيوس وسابا
Bosnia and Herzegovina,البوسنة والهرسك
Botswana,بوتسوانا
Bouvet Island,جزيرة بوفيه
Brazil,البرازيل
British Indian Ocean Territory,إقليم المحيط الهندي البريطاني
Brunei Darussalam,بروناي دار السلام
Bulgaria,بلغاريا
Burkina Faso,بوركينا فاسو
Burundi,بوروندي
Cambodia,كمبوديا
Cameroon,الكاميرون
Canada,كندا
Cape Verde,الرأس الأخضر
Cayman Islands,جزر كايمان
Central African Republic,جمهورية أفريقيا الوسطى
Chad,تشاد
Chile,شيلي
China,الصين
Christmas Island,جزيرة عيد الميلاد
Cocos (Keeling) Islands,كوكوس (كيلينغ) الجزر
Colombia,كولومبيا
Comoros,جزر القمر
Congo,الكونغو
"Congo, The Democratic Republic of the",الكونغو، جمهورية الكونغو الديمقراطية
Cook Islands,جزر كوك
Costa Rica,كوستاريكا
Croatia,كرواتيا
Cuba,كوبا
Curaçao,كوراساو
Cyprus,قبرص
Czech Republic,جمهورية التشيك
Denmark,الدنمارك
Djibouti,جيبوتي
Dominica,دومينيكا
Dominican Republic,جمهورية الدومينيكان
Ecuador,الإكوادور
Egypt,مصر
El Salvador,السلفادور
Equatorial Guinea,غينيا الاستوائية
Eritrea,إريتريا
Estonia,إستونيا
Ethiopia,إثيوبيا
Falkland Islands (Malvinas),جزر فوكلاند (مالفيناس)
Faroe Islands,جزر فارو
Fiji,فيجي
Finland,فنلندا
France,فرنسا
French Guiana,غويانا الفرنسية
French Polynesia,بولينيزيا الفرنسية
French Southern Territories,الأقاليم الجنوبية الفرنسية
Gabon,الجابون
Gambia,غامبيا
Georgia,جورجيا
Germany,ألمانيا
Ghana,غانا
Gibraltar,جبل طارق
Greece,اليونان
Greenland,جرينلاند
Grenada,غرينادا
Guadeloupe,غوادلوب
Guam,غوام
